memAlpha,memBeta,vizAlpha,vizBeta,memory,vision,DV,timestep,trialDelay
6,4,1,1,-0.42537243708096,0,-0.42537243708096,60,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,61,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,62,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,63,405
6,4,1,1,-0.42537243708096,0,-0.42537243708096,64,405
7,4,1,1,0.11427770395437,0,0.11427770395437,65,405
7,4,1,1,0.11427770395437,0,0.11427770395437,66,405
7,4,1,1,0.11427770395437,0,0.11427770395437,67,405
7,4,1,1,0.11427770395437,0,0.11427770395437,68,405
7,4,1,1,0.11427770395437,0,0.11427770395437,69,405
7,4,1,1,0.11427770395437,0,0.11427770395437,70,405
7,4,1,1,0.11427770395437,0,0.11427770395437,71,405
7,4,1,1,0.11427770395437,0,0.11427770395437,72,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,73,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,74,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,75,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,76,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,77,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,78,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,79,405
7,5,1,1,0.0967420583539224,0,0.0967420583539224,80,405
8,5,1,1,0.130284825969176,0,0.130284825969176,81,405
8,5,1,1,0.130284825969176,0,0.130284825969176,82,405
8,5,1,1,0.130284825969176,0,0.130284825969176,83,405
8,5,1,1,0.130284825969176,0,0.130284825969176,84,405
8,5,1,1,0.130284825969176,0,0.130284825969176,85,405
8,5,1,1,0.130284825969176,0,0.130284825969176,86,405
8,5,1,1,0.130284825969176,0,0.130284825969176,87,405
8,5,1,1,0.130284825969176,0,0.130284825969176,88,405
8,6,1,1,-0.964591081609164,0,-0.964591081609164,89,405
8,6,1,1,-0.964591081609164,0,-0.964591081609164,90,405
8,6,1,1,-0.964591081609164,0,-0.964591081609164,91,405
8,6,1,1,-0.964591081609164,0,-0.964591081609164,92,405
8,6,1,1,-0.964591081609164,0,-0.964591081609164,93,405
8,6,1,1,-0.964591081609164,0,-0.964591081609164,94,405
8,6,1,1,-0.964591081609164,0,-0.964591081609164,95,405
8,6,1,1,-0.964591081609164,0,-0.964591081609164,96,405
8,7,1,1,-1.68434230939397,0,-1.68434230939397,97,405
8,7,1,1,-1.68434230939397,0,-1.68434230939397,98,405
8,7,1,1,-1.68434230939397,0,-1.68434230939397,99,405
8,7,1,1,-1.68434230939397,0,-1.68434230939397,100,405
8,7,1,1,-1.68434230939397,0,-1.68434230939397,101,405
8,7,1,1,-1.68434230939397,0,-1.68434230939397,102,405
8,7,1,1,-1.68434230939397,0,-1.68434230939397,103,405
8,7,1,1,-1.68434230939397,0,-1.68434230939397,104,405
