memAlpha,memBeta,vizAlpha,vizBeta,memory,vision,DV,timestep,memPrecision,vizPrecision
7,4,39,34,4.3328011962091,2.49617685657177,6.82897805278087,71,2.55077243345607,2.08937344595732
7,4,39,35,4.3328011962091,2.23635898715257,6.56916018336167,72,2.55077243345607,2.07288469312514
8,4,39,36,4.37079546408159,1.74937178269481,6.12016724677641,73,2.69809613653106,2.05765581663689
8,4,39,37,4.37079546408159,0.818431575141546,5.18922703922314,74,2.69809613653106,2.04358345757964
8,4,39,38,4.37079546408159,0.127391034630856,4.49818649871245,75,2.69809613653106,2.03057515915953
8,4,39,39,4.37079546408159,-0.629826783000861,3.74096868108073,76,2.69809613653106,2.01854796829871
8,4,39,40,4.37079546408159,-1.40111793691301,2.96967752716859,77,2.69809613653106,2.00742724702295
8,4,39,41,4.37079546408159,-1.46580429779182,2.90499116628977,78,2.69809613653106,1.99714565782059
8,4,40,41,4.37079546408159,-0.810179670089897,3.5606157939917,79,2.69809613653106,2.0072348540028
8,4,41,41,4.37079546408159,-0.00215102805555334,4.36864443602604,80,2.69809613653106,2.01764080903758
9,4,42,41,4.51692305092829,0.636722222504584,5.15364527343288,81,2.85111366442383,2.02834177847558
9,4,42,42,4.51692305092829,0.0561385631257201,4.57306161405401,82,2.85111366442383,2.01721971002679
9,4,42,43,4.51692305092829,-0.903957810311636,3.61296524061666,83,2.85111366442383,2.00687844438984
9,4,42,44,4.51692305092829,-0.9649113165088,3.55201173441949,84,2.85111366442383,1.99726393276184
9,4,43,44,4.51692305092829,-0.871594521588427,3.64532852933987,85,2.85111366442383,2.00671306838428
9,4,43,45,4.51692305092829,-1.46644916484399,3.0504738860843,86,2.85111366442383,1.99730216830112
9,4,44,45,4.51692305092829,-1.18768346459485,3.32923958633345,87,2.85111366442383,2.00655544448763
9,4,45,45,4.51692305092829,-0.247379001666836,4.26954404926146,88,2.85111366442383,2.01606897204444
9,5,46,45,4.3627763042008,0.41640893454332,4.77918523874412,89,2.55145307940586,2.02582644716883
9,5,46,46,4.3627763042008,0.342443528119158,4.70521983231996,90,2.55145307940586,2.01571882484179
9,5,46,47,4.3627763042008,-0.91211644203677,3.45065986216403,91,2.55145307940586,2.00626137335045
9,5,47,47,4.3627763042008,-0.575246208621381,3.78753009557942,92,2.55145307940586,2.01538361140745
9,5,48,47,4.3627763042008,-0.504418504263893,3.85835779993691,93,2.55145307940586,2.0247290980374
9,5,48,48,4.3627763042008,-0.909318148491165,3.45345815570964,94,2.55145307940586,2.01506239632713
9,5,48,49,4.3627763042008,-1.89397664477043,2.46879965943037,95,2.55145307940586,2.00599251612145
9,5,49,49,4.3627763042008,-1.58604664189973,2.77672966230108,96,2.55145307940586,2.01475432070957
10,5,49,50,4.41836210406555,-1.62550373514174,2.79285836892382,97,2.67101371010162,2.00586655190314
10,5,50,50,4.41836210406555,-1.4441616567876,2.97420044727796,98,2.67101371010162,2.01445859451842
10,5,50,51,4.41836210406555,-1.5370296996629,2.88133240440266,99,2.67101371010162,2.00574576718952
10,5,51,51,4.41836210406555,-0.765235595195217,3.65312650887034,100,2.67101371010162,2.01417448980809
10,5,51,52,4.41836210406555,-0.907577538417112,3.51078456564845,101,2.67101371010162,2.00562984933409
10,5,52,52,4.41836210406555,-0.19642730556917,4.22193479849639,102,2.67101371010162,2.01390133474161
10,5,53,52,4.41836210406555,0.153570512588804,4.57193261665436,103,2.67101371010162,2.022354531683
10,5,53,53,4.41836210406555,-0.0335483907605253,4.38481371330503,104,2.67101371010162,2.01363850828703
11,5,53,54,5.45028898968722,-0.205297862151311,5.24499112753591,105,2.79398496933792,2.00541148443132
11,5,53,55,5.45028898968722,-0.761488233636344,4.68880075605088,106,2.79398496933792,1.99764637883453
11,5,53,56,5.45028898968722,-1.07006112494727,4.38022786473995,107,2.79398496933792,1.99031804992396
11,5,54,56,5.45028898968722,-0.785141331130135,4.66514765855709,108,2.79398496933792,1.99767696616608
11,5,55,56,5.45028898968722,-0.608609757493106,4.84167923219412,109,2.79398496933792,2.00520940786297
11,5,55,57,5.45028898968722,-1.3910583921718,4.05923059751542,110,2.79398496933792,1.99770688908667
11,5,56,57,5.45028898968722,-1.18828715039066,4.26200183929656,111,2.79398496933792,2.00511391918125
11,5,56,58,5.45028898968722,-1.43266612811535,4.01762286157187,112,2.79398496933792,1.99773616043493
12,5,57,58,5.72707905598873,-1.04622728776721,4.68085176822152,113,2.91952524892642,2.00502186442415
12,5,58,58,5.72707905598873,-0.97398739662619,4.75309165936254,114,2.91952524892642,2.01246057258861
12,5,58,59,5.72707905598873,-1.15654131480908,4.57053774117965,115,2.91952524892642,2.00493306180585
12,5,59,59,5.72707905598873,-1.07122267526577,4.65585638072296,116,2.91952524892642,2.01224898715185
12,5,59,60,5.72707905598873,-1.36024150389857,4.36683755209017,117,2.91952524892642,2.0048473421382
12,5,60,60,5.72707905598873,-0.671135289617872,5.05594376637086,118,2.91952524892642,2.01204446722536
12,5,61,60,5.72707905598873,-0.212159746626752,5.51491930936198,119,2.91952524892642,2.01937745065714
12,5,62,60,5.72707905598873,0.419999851132357,6.14707890712109,120,2.91952524892642,2.02683998433908
13,5,62,61,6.52407226153508,0.136960628589077,6.66103289012416,121,3.04704917721454,2.01906015764323
13,5,63,61,6.52407226153508,0.283072918089205,6.80714517962429,122,3.04704917721454,2.02639902379525
13,5,63,62,6.52407226153508,-0.0169429083052166,6.50712935322986,123,3.04704917721454,2.01875308829373
13,5,63,63,6.52407226153508,-0.0954898595720112,6.42858240196307,124,3.04704917721454,2.01146993027846
13,5,63,64,6.52407226153508,-0.230179445474376,6.2938928160607,125,3.04704917721454,2.00453229301908
13,5,63,65,6.52407226153508,-0.9346044611891,5.58946780034598,126,3.04704917721454,1.99792398453631
