subID,cue,coherence,model,parameter,fitted_value
2,0.65,0.515,,s1_cong,4.244722
2,0.65,0.515,,s1_incong,2.307683
2,0.65,0.515,,n2_cong,-0.910508
2,0.65,0.515,,n2_incong,-0.515161
2,0.65,0.515,,s2_cong,3.757492
2,0.65,0.515,,s2_incong,3.598306
2,0.65,0.515,,B,6.181062
2,0.65,0.61,,n1_cong,0.66006
2,0.65,0.61,,n1_incong,0.497252
2,0.65,0.61,,s1_cong,1.814771
2,0.65,0.61,,s1_incong,-1.0
2,0.65,0.61,,n2_cong,-0.130666
2,0.65,0.61,,n2_incong,-0.072117
2,0.65,0.61,,s2_cong,3.536643
2,0.65,0.61,,s2_incong,-1.0
2,0.65,0.61,,B,1.004046
2,0.8,0.56,,n1_cong,0.958848
2,0.8,0.56,,n1_incong,0.906354
2,0.8,0.56,,s1_cong,1.222635
2,0.8,0.56,,s1_incong,-0.608273
2,0.8,0.56,,n2_cong,-0.354201
2,0.8,0.56,,n2_incong,-0.021228
2,0.8,0.56,,s2_cong,1.928509
2,0.8,0.56,,s2_incong,-1.0
2,0.8,0.56,,B,1.384636
2,0.8,0.52,,n1_cong,2.478844
2,0.8,0.52,,n1_incong,3.00865
2,0.8,0.52,,s1_cong,1.388809
2,0.8,0.52,,s1_incong,1.521321
2,0.8,0.52,,n2_cong,-0.843368
2,0.8,0.52,,n2_incong,-0.974509
2,0.8,0.52,,s2_cong,3.054395
2,0.8,0.52,,s2_incong,3.439722
2,0.8,0.52,,B,4.553817
2,0.8,0.54,,n1_cong,0.867041
2,0.8,0.54,,n1_incong,0.857151
2,0.8,0.54,,s1_cong,1.274902
2,0.8,0.54,,s1_incong,-0.022413
2,0.8,0.54,,n2_cong,-0.505105
2,0.8,0.54,,n2_incong,-0.165826
2,0.8,0.54,,s2_cong,2.172438
2,0.8,0.54,,s2_incong,-1.0
2,0.8,0.54,,B,1.80335
2,0.8,0.53,,n1_cong,0.832308
2,0.8,0.53,,n1_incong,1.088046
2,0.8,0.53,,s1_cong,1.228514
2,0.8,0.53,,s1_incong,0.34192
2,0.8,0.53,,n2_cong,-0.589102
2,0.8,0.53,,n2_incong,-0.375974
2,0.8,0.53,,s2_cong,2.535302
2,0.8,0.53,,s2_incong,-0.635391
2,0.8,0.53,,B,2.298845
2,0.8,0.515,,n1_cong,2.811326
2,0.8,0.515,,n1_incong,3.309114
2,0.8,0.515,,s1_cong,1.835991
2,0.8,0.515,,s1_incong,1.060678
2,0.8,0.515,,n2_cong,-0.91846
2,0.8,0.515,,n2_incong,-1.0
2,0.8,0.515,,s2_cong,3.20505
2,0.8,0.515,,s2_incong,3.509141
2,0.8,0.515,,B,5.77791
2,0.8,0.61,,n1_cong,1.384096
2,0.8,0.61,,n1_incong,1.094458
2,0.8,0.61,,s1_cong,2.307264
2,0.8,0.61,,s1_incong,-0.99306
2,0.8,0.61,,n2_cong,0.902723
2,0.8,0.61,,n2_incong,3.572289
2,0.8,0.61,,s2_cong,7.867998
2,0.8,0.61,,s2_incong,9.708624
2,0.8,0.61,,B,1.003995
3,0.5,0.56,,n1_neut,0.036297
3,0.5,0.56,,s1_neut,0.901059
3,0.5,0.56,,n2_neut,-0.169993
3,0.5,0.56,,s2_neut,1.627166
3,0.5,0.56,,B,1.353434
3,0.5,0.52,,n1_neut,-0.153562
3,0.5,0.52,,s1_neut,0.856273
3,0.5,0.52,,n2_neut,-0.424234
3,0.5,0.52,,s2_neut,2.738514
3,0.5,0.52,,B,2.795977
3,0.5,0.54,,n1_neut,-0.004224
3,0.5,0.54,,s1_neut,0.714131
3,0.5,0.54,,n2_neut,-0.200025
3,0.5,0.54,,s2_neut,1.573615
3,0.5,0.54,,B,1.697984
3,0.5,0.53,,n1_neut,-0.023836
3,0.5,0.53,,s1_neut,0.525014
3,0.5,0.53,,n2_neut,-0.222409
3,0.5,0.53,,s2_neut,1.727903
3,0.5,0.53,,B,1.985668
3,0.5,0.61,,n1_neut,0.044407
3,0.5,0.61,,s1_neut,2.075154
3,0.5,0.61,,n2_neut,-0.227424
3,0.5,0.61,,s2_neut,4.591208
3,0.5,0.61,,B,1.000867
3,0.5,0.515,,n1_neut,2.496346
3,0.5,0.515,,s1_neut,3.260415
3,0.5,0.515,,n2_neut,-0.611296
3,0.5,0.515,,s2_neut,3.511724
3,0.5,0.515,,B,7.293322
3,0.65,0.56,,n1_cong,0.520164
3,0.65,0.56,,n1_incong,0.465577
3,0.65,0.56,,s1_cong,1.106099
3,0.65,0.56,,s1_incong,-0.737705
3,0.65,0.56,,n2_cong,-0.230577
3,0.65,0.56,,n2_incong,-0.045632
3,0.65,0.56,,s2_cong,1.831229
3,0.65,0.56,,s2_incong,-1.0
3,0.65,0.56,,B,1.376494
3,0.65,0.52,,n1_cong,0.444309
3,0.65,0.52,,n1_incong,1.130197
3,0.65,0.52,,s1_cong,1.349623
3,0.65,0.52,,s1_incong,1.003269
3,0.65,0.52,,n2_cong,-0.819071
3,0.65,0.52,,n2_incong,-1.0
3,0.65,0.52,,s2_cong,3.14819
3,0.65,0.52,,s2_incong,3.605995
3,0.65,0.52,,B,3.206241
3,0.65,0.54,,n1_cong,0.404301
3,0.65,0.54,,n1_incong,0.397334
3,0.65,0.54,,s1_cong,1.095967
3,0.65,0.54,,s1_incong,-0.151774
3,0.65,0.54,,n2_cong,-0.406993
3,0.65,0.54,,n2_incong,-0.118955
3,0.65,0.54,,s2_cong,1.913138
3,0.65,0.54,,s2_incong,-1.0
3,0.65,0.54,,B,1.723557
3,0.65,0.53,,n1_cong,0.224995
3,0.65,0.53,,n1_incong,0.330332
3,0.65,0.53,,s1_cong,0.998889
3,0.65,0.53,,s1_incong,0.009965
3,0.65,0.53,,n2_cong,-0.400252
3,0.65,0.53,,n2_incong,-0.076686
3,0.65,0.53,,s2_cong,2.171474
3,0.65,0.53,,s2_incong,-0.956373
3,0.65,0.53,,B,1.953225
3,0.65,0.61,,n1_cong,0.673579
3,0.65,0.61,,n1_incong,0.478694
3,0.65,0.61,,s1_cong,1.854558
3,0.65,0.61,,s1_incong,-1.0
3,0.65,0.61,,n2_cong,-0.362292
3,0.65,0.61,,n2_incong,-0.243389
3,0.65,0.61,,s2_cong,8.02769
3,0.65,0.61,,s2_incong,-1.0
3,0.65,0.61,,B,1.004439
3,0.65,0.515,,n1_cong,1.281361
3,0.65,0.515,,n1_incong,1.422903
3,0.65,0.515,,s1_cong,1.063394
3,0.65,0.515,,s1_incong,1.578037
3,0.65,0.515,,n2_cong,-0.660203
3,0.65,0.515,,n2_incong,-1.0
3,0.65,0.515,,s2_cong,3.460531
3,0.65,0.515,,s2_incong,3.901845
3,0.65,0.515,,B,4.46804
3,0.8,0.56,,n1_cong,0.922848
3,0.8,0.56,,n1_incong,0.876677
3,0.8,0.56,,s1_cong,1.415118
3,0.8,0.56,,s1_incong,-0.722221
3,0.8,0.56,,n2_cong,-0.305225
3,0.8,0.56,,n2_incong,-0.020267
3,0.8,0.56,,s2_cong,1.996004
3,0.8,0.56,,s2_incong,-1.0
3,0.8,0.56,,B,1.369509
3,0.8,0.52,,n1_cong,1.749344
3,0.8,0.52,,n1_incong,1.873518
3,0.8,0.52,,s1_cong,1.010848
3,0.8,0.52,,s1_incong,1.323071
3,0.8,0.52,,n2_cong,-0.752116
3,0.8,0.52,,n2_incong,-0.853534
3,0.8,0.52,,s2_cong,2.986742
3,0.8,0.52,,s2_incong,3.316183
3,0.8,0.52,,B,3.772988
3,0.8,0.54,,n1_cong,0.916407
3,0.8,0.54,,n1_incong,0.919838
3,0.8,0.54,,s1_cong,1.244612
3,0.8,0.54,,s1_incong,0.133428
3,0.8,0.54,,n2_cong,-0.49048
3,0.8,0.54,,n2_incong,-0.339027
3,0.8,0.54,,s2_cong,2.175213
3,0.8,0.54,,s2_incong,-1.0
3,0.8,0.54,,B,1.842994
3,0.8,0.53,,n1_cong,0.809181
3,0.8,0.53,,n1_incong,0.995122
3,0.8,0.53,,s1_cong,1.197407
3,0.8,0.53,,s1_incong,0.374539
3,0.8,0.53,,n2_cong,-0.600658
3,0.8,0.53,,n2_incong,-0.393591
3,0.8,0.53,,s2_cong,2.506625
